,Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,"On the go, where do you typically purchase coffee?",What is your favorite coffee drink?,Do you usually add anything to your coffee?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
99,RzBqLv,25-34 years old,More than 4,"At home, At the office, At a cafe","Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Full Bodied,Somewhat strong,Medium,Full caffeine,5.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,5.0,2.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,It tastes good,Yes,No,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,High school graduate,White/Caucasian,Employed full-time,0,No affiliation
100,oAV8d5,35-44 years old,3,"At home, At a cafe",French press,Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Nutty,Very strong,Medium,Full caffeine,7.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,5.0,1.0,5.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$6-$8,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Democrat
101,oAV8OM,25-34 years old,2,At home,"Pour over, Espresso, Cold brew",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat light,Light,Full caffeine,7.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$60-$80,"It tastes good, I need the ritual",Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,More than 3,Independent
102,AlbYyW,25-34 years old,1,At the office,,Don't purchase on the go,Mocha,Sugar or sweetener,Don't add diary,Honey,Floral,Somewhat strong,Light,Full caffeine,4.0,2.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,$10-$15,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
103,KMB4kk,25-34 years old,1,"At the office, At home","Cold brew, Coffee extract (e.g. Cometeer), Pod/capsule machine (e.g. Keurig/Nespresso), Other",Don't purchase on the go,Cappuccino,"Milk, dairy alternative, or coffee creamer, No - just black","Skim milk, Soy milk",Don't add swetener,Chocolatey,Medium,Light,Full caffeine,3.0,1.0,4.0,2.0,4.0,1.0,5.0,3.0,3.0,4.0,1.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I do a mix of both,$60-$80,"It tastes good, I need the caffeine",Yes,No,$6-$8,$10-$15,Yes,$20-$50,Yes,Female,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,0,Democrat
104,42N0Kd,18-24 years old,2,"At home, At the office, At a cafe","French press, Pod/capsule machine (e.g. Keurig/Nespresso)",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Flavor syrup",Whole milk,Don't add swetener,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,3.0,3.0,1.0,5.0,3.0,2.0,4.0,3.0,4.0,1.0,Coffee B,Coffee A,Coffee B,I do a mix of both,$60-$80,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$10-$15,No,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Independent
105,0Ej0VZ,25-34 years old,1,At home,"French press, Cold brew",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener","Almond milk, Skim milk, Whole milk","Artificial Sweeteners (e.g., Splenda), Maple Syrup, Agave Nectar, Honey",Sweet,Medium,Medium,Full caffeine,6.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,<$20,"I need the caffeine, It tastes good",Yes,No,$6-$8,$8-$10,Yes,$20-$50,Yes,Female,Some college or associate's degree,White/Caucasian,Employed part-time,0,Democrat
106,rlrQQo,35-44 years old,1,"At home, On the go, At a cafe",Instant coffee,"Specialty coffee shop, Local cafe",Latte,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Nutty,Somewhat strong,Dark,Half caff,7.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,1.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,No,$8-$10,$6-$8,Yes,Less than $20,Yes,Female,Master's degree,Other,Employed full-time,0,Democrat
107,vNx84X,35-44 years old,2,At home,Espresso,Don't purchase on the go,Espresso,"No - just black, Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Fruity,Very strong,Light,Full caffeine,7.0,1.0,4.0,5.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,5.0,2.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,It tastes good,Yes,Yes,$10-$15,$15-$20,No,"More than $1,000",No,Male,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,3,Democrat
108,OABxLk,25-34 years old,1,"At a cafe, At home","Pour over, Espresso",Don't purchase on the go,Iced coffee,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,8.0,1.0,4.0,5.0,5.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$60-$80,It tastes good,Yes,Yes,$15-$20,More than $20,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Student,0,Independent
109,MAd2V0,25-34 years old,1,At home,Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Bold,Somewhat strong,Dark,Full caffeine,4.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,1.0,4.0,3.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I do a mix of both,<$20,It tastes good,Yes,No,$6-$8,$8-$10,No,Less than $20,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
110,8dpbGk,25-34 years old,2,"At home, At a cafe","Pour over, Espresso, French press",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Floral,Medium,Nordic,Full caffeine,8.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$80-$100,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$15-$20,$15-$20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
111,zKQ8ja,25-34 years old,1,"At the office, At home",Espresso,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, No - just black",Whole milk,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,4.0,5.0,1.0,4.0,2.0,3.0,3.0,1.0,5.0,4.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$6-$8,No,"More than $1,000",Yes,Male,Bachelor's degree,Other,Employed full-time,0,
112,YZzBLJ,35-44 years old,1,At home,Cold brew,Don't purchase on the go,Cold brew,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener","Whole milk, Flavored coffee creamer",Maple Syrup,Caramalized,Somewhat strong,Medium,Full caffeine,5.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$60-$80,I need the caffeine,No,No,$8-$10,$8-$10,Yes,$50-$100,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
113,QABNdl,25-34 years old,3,At home,"Pour over, French press, Espresso",Don't purchase on the go,Cortado,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer",Whole milk,"Artificial Sweeteners (e.g., Splenda)",Chocolatey,Medium,Medium,Full caffeine,5.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,1.0,3.0,1.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$6-$8,$10-$15,No,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,
114,8dpbko,25-34 years old,2,At home,Espresso,Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Fruity,Very strong,Light,Full caffeine,7.0,1.0,4.0,5.0,1.0,5.0,5.0,4.0,1.0,2.0,5.0,2.0,3.0,Coffee B,Coffee A,Coffee B,I primarily work from home,>$100,"It tastes good, I need the ritual",Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Independent
115,XeB6Ee,25-34 years old,4,"At home, At the office",Bean-to-cup machine,Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Sweet,Very strong,Light,Full caffeine,6.0,3.0,5.0,5.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$80-$100,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$15-$20,$15-$20,Yes,"More than $1,000",Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,1,Democrat
116,KMBroK,25-34 years old,Less than 1,"At home, On the go",Pour over,"National chain (e.g. Starbucks, Dunkin)",Latte,"Milk, dairy alternative, or coffee creamer","Whole milk, Flavored coffee creamer, Oat milk",Don't add swetener,Caramalized,Weak,Medium,Decaf,1.0,4.0,4.0,2.0,2.0,1.0,5.0,5.0,2.0,1.0,3.0,5.0,4.0,Coffee B,Coffee D,Coffee B,I do a mix of both,<$20,It tastes good,No,No,$6-$8,$6-$8,No,Less than $20,Yes,Female,Master's degree,White/Caucasian,Employed full-time,0,No affiliation
117,24x9rg,35-44 years old,1,At home,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",Don't purchase on the go,Cortado,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Half caff,6.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"I need the caffeine, I need the ritual, It tastes good",Yes,Yes,$4-$6,$4-$6,Yes,$300-$500,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,No affiliation
118,dY2JjD,25-34 years old,2,"At the office, At home","Pour over, Espresso",Don't purchase on the go,Pourover,"No - just black, Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Fruity,Medium,Light,Full caffeine,8.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,I need the ritual,Yes,Yes,$6-$8,$8-$10,No,$300-$500,Yes,Male,Master's degree,White/Caucasian,Employed full-time,1,Democrat
119,LdMjyz,18-24 years old,1,At home,"Pour over, Coffee extract (e.g. Cometeer)",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Medium,Full caffeine,8.0,1.0,5.0,3.0,3.0,2.0,5.0,4.0,1.0,4.0,2.0,4.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work from home,$20-$40,It tastes good,Yes,Yes,$15-$20,More than $20,Yes,$500-$1000,Yes,Male,High school graduate,White/Caucasian,Employed full-time,0,No affiliation
120,9dJYM1,55-64 years old,4,"At home, At the office, On the go, At a cafe","Espresso, French press, Pour over","Specialty coffee shop, Local cafe",Americano,No - just black,Don't add diary,Don't add swetener,Bright,Medium,French,Full caffeine,7.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$10-$15,Yes,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,More than 3,Republican
121,kYR4rj,25-34 years old,2,"At home, At the office, At a cafe, On the go","Espresso, Pour over, French press",Local cafe,Americano,No - just black,Don't add diary,Don't add swetener,Full Bodied,Somewhat strong,Medium,Full caffeine,8.0,1.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,Coffee C,Coffee A,Coffee C,I do a mix of both,$20-$40,"I need the ritual, It tastes good",Yes,Yes,$4-$6,$8-$10,Yes,$50-$100,Yes,Male,Bachelor's degree,Other,Employed full-time,0,Republican
122,pLPN7q,35-44 years old,1,"At home, At a cafe","Pour over, Espresso, French press, Cold brew, Other",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Juicy,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,It tastes good,Yes,Yes,More than $20,More than $20,,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,Democrat
123,6dQ0eO,25-34 years old,Less than 1,"At the office, At home","Espresso, Cold brew",Don't purchase on the go,Cold brew,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener","Whole milk, Half and half","Granulated Sugar, Raw Sugar (Turbinado)",Sweet,Somewhat strong,Medium,Full caffeine,3.0,1.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,4.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work in person,<$20,It tastes good,Yes,No,$10-$15,$10-$15,,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
124,42NlLd,25-34 years old,2,"At home, At a cafe",Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Caramalized,Medium,Medium,Full caffeine,4.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,Coffee B,Coffee A,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$6-$8,$6-$8,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Independent
125,LdMxaj,25-34 years old,2,"At home, At a cafe","Pour over, Other",Don't purchase on the go,Cortado,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Medium,Full caffeine,6.0,1.0,4.0,5.0,3.0,1.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$60-$80,"It tastes good, I need the ritual",Yes,Yes,$8-$10,More than $20,Yes,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Independent
126,BGbJZ4,35-44 years old,2,At home,"Bean-to-cup machine, Pour over",Don't purchase on the go,Cortado,"No - just black, Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Fruity,Medium,Blonde,Half caff,8.0,1.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$60-$80,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
127,J2kER7,55-64 years old,2,"At home, At the office","French press, Coffee brewing machine (e.g. Mr. Coffee), Other",Don't purchase on the go,Regular drip coffee,"Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Full Bodied,Very strong,Dark,Full caffeine,7.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,Coffee B,Coffee D,Coffee B,I primarily work in person,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Independent
128,eBxgQO,25-34 years old,Less than 1,None of these,,Don't purchase on the go,Blended drink (e.g. Frappuccino),"Sugar or sweetener, Milk, dairy alternative, or coffee creamer, Flavor syrup","Whole milk, Half and half, Coffee creamer","Maple Syrup, Artificial Sweeteners (e.g., Splenda), Granulated Sugar, Honey, Brown Sugar",Sweet,Weak,Italian,Decaf,1.0,1.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee A,I do a mix of both,<$20,Other,No,No,More than $20,More than $20,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
129,J2kELz,25-34 years old,2,At home,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Instant coffee, Cold brew",Don't purchase on the go,Mocha,"No - just black, Sugar or sweetener",Don't add diary,Granulated Sugar,Bright,Somewhat strong,Medium,Full caffeine,5.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,Coffee B,Coffee D,Coffee B,I primarily work in person,$20-$40,It tastes good,Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Non-binary,High school graduate,White/Caucasian,Employed part-time,0,No affiliation
130,LdMjqJ,35-44 years old,More than 4,On the go,,Specialty coffee shop,Iced coffee,"Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Nutty,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,4.0,5.0,Coffee B,Coffee A,Coffee A,I primarily work in person,>$100,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,More than $20,$10-$15,Yes,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,0,Democrat
131,oAVNeM,45-54 years old,3,At home,Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Bright,Somewhat strong,Medium,Full caffeine,6.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,$10-$15,Yes,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
132,oAVZ95,35-44 years old,2,"At home, At the office","Pour over, Espresso, Cold brew",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,6.0,2.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0,5.0,5.0,Coffee C,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$4-$6,Yes,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Democrat
133,eBxGvE,25-34 years old,More than 4,"At home, On the go, At a cafe, At the office","Pour over, Espresso, French press, Other","National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop",Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,,$60-$80,"It tastes good, I need the caffeine",Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Non-binary,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
134,g5NPYO,25-34 years old,3,"At a cafe, At the office, On the go, At home","Espresso, Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew, Pour over","Local cafe, Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",Cappuccino,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,3.0,3.0,5.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,No,$8-$10,$10-$15,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
135,xdNbxo,45-54 years old,2,"At home, At a cafe",Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Espresso,"Milk, dairy alternative, or coffee creamer",Almond milk,Don't add swetener,Full Bodied,Medium,Light,Full caffeine,6.0,1.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,$10-$15,Yes,$50-$100,Yes,Female,Some college or associate's degree,White/Caucasian,Unemployed,0,Democrat
136,zKQ8ZZ,35-44 years old,3,"At home, On the go, At a cafe, At the office","Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), French press","National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe",Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$60-$80,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,More than $20,Yes,$300-$500,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Democrat
137,rlrQxl,25-34 years old,2,"At the office, At home, At a cafe","Pour over, French press",Don't purchase on the go,Regular drip coffee,"No - just black, Milk, dairy alternative, or coffee creamer","Half and half, Whole milk, Almond milk",Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,8.0,1.0,4.0,5.0,5.0,2.0,1.0,4.0,2.0,3.0,2.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$8-$10,$6-$8,No,$300-$500,Yes,Prefer not to say,,,,0,
138,VZ1W8N,25-34 years old,2,"At home, At a cafe","Espresso, Coffee brewing machine (e.g. Mr. Coffee), French press, Pour over",Don't purchase on the go,Latte,No - just black,Don't add diary,Don't add swetener,Chocolatey,Medium,Medium,Full caffeine,8.0,2.0,4.0,3.0,5.0,1.0,1.0,4.0,2.0,5.0,1.0,5.0,3.0,Coffee C,Coffee D,Coffee C,I primarily work from home,$40-$60,"It tastes good, I need the ritual, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$6-$8,$6-$8,No,$500-$1000,Yes,,,,,0,
